date,name,norm_name,buzz,std_tot_rtw,std_tot_likes,std_avgViewers,buzz_daily_top,twitch_daily_top,avgViewers,avgPopularity,avgChannels,total_likes,total_retweets
2019-06-29,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.28996381753272443,-0.05543416324282603,-0.07051419021604971,-0.16401546407384865,22,43.0,5774.13152400835,4786.325678496868,92.4133611691023,53.0,21.0
2019-06-30,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3746381371825022,-0.05588425250551146,-0.07005149751679983,-0.24870238716019094,35,132.0,808.9100418410042,808.7719665271968,94.1317991631799,65.0,19.0
2019-07-01,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3767667166047112,-0.05678443103088233,-0.06870197714398762,-0.2512803084298412,35,133.0,657.7656903765691,659.0794979079498,85.03556485355648,100.0,15.0
2019-07-02,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3734712557888091,-0.05408389545476976,-0.06781514947042536,-0.25157221086361403,32,152.0,640.651356993737,660.321503131524,81.51774530271399,123.0,27.0
2019-07-03,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.38448481075665897,-0.05925992197565218,-0.0705527479409872,-0.25467214084001966,40,182.0,458.9014675052411,457.4528301886792,81.33962264150944,52.0,4.0
2019-07-04,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3821478428097117,-0.05768460955625317,-0.07005149751679983,-0.2544117357366587,35,178.0,474.16910229645094,475.86012526096033,83.03549060542798,65.0,11.0
2019-07-05,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3818465773635685,-0.05768460955625317,-0.07086120974048712,-0.2533007580668282,36,158.0,539.3060796645702,531.392033542977,73.72955974842769,44.0,11.0
2019-07-06,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.38038419662577616,-0.058584788081624026,-0.07005149751679983,-0.25174791102735233,34,149.0,630.35,639.3020833333334,83.77291666666666,65.0,7.0
2019-07-07,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.14941132385969105,0.08566882060905542,0.01624069089330475,-0.2513208353620512,18,169.0,655.3895833333333,646.0791666666668,86.30208333333331,2303.0,648.0
2019-07-08,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3797346553176182,-0.05835974345028131,-0.07066842111579968,-0.25070649075153717,35,132.0,691.4088050314465,692.104821802935,88.39832285115305,49.0,8.0
2019-07-09,The Elder Scrolls V: Skyrim,the elder scrolls v skyrim,-0.3634354249866336,-0.05790965418759589,-0.07089976746542463,-0.2346260033336131,30,75.0,1634.2129436325679,1579.6116910229646,90.41544885177453,43.0,10.0
2019-06-14,Tom Clancy's Rainbow Six: Siege,tom clancy's rainbow six siege,-0.13015790773185146,-0.05250858303537076,-0.06904899666842508,-0.008600328028055609,17,17.0,14886.170833333334,14828.2,1404.9104166666666,91.0,34.0
2019-06-15,Tom Clancy's Rainbow Six: Siege,tom clancy's rainbow six siege,-0.11106507551208733,-0.05430894008611247,-0.06812361126992528,0.011367475843950446,16,15.0,16056.889583333334,16121.589583333332,1379.6333333333334,115.0,26.0
2019-06-16,Tom Clancy's Rainbow Six: Siege,tom clancy's rainbow six siege,-0.1177278975916568,-0.053858850823427035,-0.06985870889211238,0.00598966212388261,16,16.0,15741.586638830897,15714.490605427976,1413.9331941544885,70.0,28.0
2019-06-17,Tom Clancy's Rainbow Six: Siege,tom clancy's rainbow six siege,-0.07913656849244385,-0.05453398471745518,-0.06912611211830004,0.044523528343311365,14,14.0,18000.839583333334,18186.69375,1272.8166666666666,89.0,25.0
2019-06-18,Tom Clancy's Rainbow Six: Siege,tom clancy's rainbow six siege,-0.016613236557307634,-0.052058493772685316,-0.06789226492030033,0.10333752213567803,13,12.0,21449.122916666667,21288.98125,1343.45,121.0,36.0
